id,Name,Address,Website,Instate-On campus,Instate-Off campus,Instate-Off Campus with Family,Outstate-On campus,Outstate-Off campus,Outstate-Off Campus with Family
397270,Bristol University,"Bristol University
Address : 2390 E. Orangewood Ave., Suite 485 &amp; 105, Anaheim, California 92806-6198",www.bristoluniversity.edu,"$95,906",,"$52,413",,,
459091,Broadview Entertainment Arts University,"Broadview Entertainment Arts University
Address : 240 E Morris Ave, Salt Lake City, Utah 84115",beau.broadviewuniversity.edu/,"$27,500",,"$21,798",,,
467793,Broadview University-Boise,"Broadview University-Boise
Address : 2750 East Gala Court, Meridian, Idaho 83642-0000",www.broadviewuniversity.edu/,"$27,500",,"$21,798",,,
444088,Brookline College-Albuquerque,"Brookline College-Albuquerque
Address : 4201 Central Ave NW-Ste J, Albuquerque, New Mexico 87105",www.brooklinecollege.edu,"$37,026",,"$24,585",,,
104090,Brookline College-Phoenix,"Brookline College-Phoenix
Address : 2445 W. Dunlap Ave., Ste. 100, Phoenix, Arizona 85021",www.brooklinecollege.edu,"$152,080",,"$113,800",,,
438179,Brookline College-Tucson,"Brookline College-Tucson
Address : 5441 E. 22nd St, Ste.125, Tucson, Arizona 85711",www.brooklinecollege.edu,"$37,026",,"$24,585",,,
132709,Broward College,"Broward College
Address : 111 East Las Olas Blvd, Fort Lauderdale, Florida 33301",www.broward.edu,"$22,126",,"$8,626","$28,248","$14,748",
205647,Brown Mackie College-Akron,"Brown Mackie College-Akron
Address : 755 White Pond Dr., Suite 101, Akron, Ohio 44320",www.brownmackie.edu/locations/akron,"$25,802",,"$17,795",,,
460039,Brown Mackie College-Albuquerque,"Brown Mackie College-Albuquerque
Address : 10500 Cooper Ave NE, Albuquerque, New Mexico 87123",www.brownmackie.edu/,,,,,,
188517,Bryant & Stratton College-Albany,"Bryant &amp; Stratton College-Albany
Address : 1259 Central Ave, Albany, New York 12205",www.bryantstratton.edu/,"$23,592",,"$20,092",,,
189556,Bryant & Stratton College-Amherst,"Bryant &amp; Stratton College-Amherst
Address : 3650 Millersport Highway, Getzville, New York 14068",www.bryantstratton.edu,"$22,802",,"$19,302",,,
458502,Bryant & Stratton College-Bayshore,"Bryant &amp; Stratton College-Bayshore
Address : 500 Silverspring Rd Ste K340, Glendale, Wisconsin 53217",www.bryantstratton.edu,"$23,116",,"$19,616",,,
189583,Bryant & Stratton College-Buffalo,"Bryant &amp; Stratton College-Buffalo
Address : 465 Main Street, Suite 400, Buffalo, New York 14203",www.bryantstratton.edu,"$23,325",,"$19,825",,,
202684,Bryant & Stratton College-Cleveland,"Bryant &amp; Stratton College-Cleveland
Address : 3121 Euclid Avenue, Cleveland, Ohio 44115",www.bryantstratton.edu,"$23,698",,"$20,198",,,
369905,Bryant & Stratton College-Eastlake,"Bryant &amp; Stratton College-Eastlake
Address : 35350 Curtis Blvd., Eastlake, Ohio 44095",www.bryantstratton.edu,"$23,459",,"$19,959",,,
